County,County Code,Race,Race Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Deaths,Population,Crude Rate
"DeKalb County, AL",1049,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,33640,Unreliable
"Etowah County, AL",1055,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,15,42777,Unreliable
"Etowah County, AL",1055,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,16,42380,Unreliable
"Etowah County, AL",1055,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,19,41881,Unreliable
"Houston County, AL",1069,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,37139,Unreliable
"Jefferson County, AL",1073,Black or African American,2054-5,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,156224,Unreliable
"Jefferson County, AL",1073,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,15,156224,Unreliable
"Jefferson County, AL",1073,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,22,156224,14.1
"Jefferson County, AL",1073,Black or African American,2054-5,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,155910,Unreliable
"Jefferson County, AL",1073,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,155910,Unreliable
"Jefferson County, AL",1073,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,22,155910,14.1
"Jefferson County, AL",1073,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,23,155570,14.8
"Jefferson County, AL",1073,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,38,155570,24.4
"Jefferson County, AL",1073,White,2106-3,2013,2013,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,17,187423,Unreliable
"Jefferson County, AL",1073,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,43,187423,22.9
"Jefferson County, AL",1073,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,68,187423,36.3
"Jefferson County, AL",1073,White,2106-3,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,32,185818,17.2
"Jefferson County, AL",1073,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,81,185818,43.6
"Jefferson County, AL",1073,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,113,185818,60.8
"Jefferson County, AL",1073,White,2106-3,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,16,183563,Unreliable
"Jefferson County, AL",1073,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,68,183563,37
"Jefferson County, AL",1073,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,120,183563,65.4
"Jefferson County, AL",1073,White,2106-3,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,180971,Unreliable
"Jefferson County, AL",1073,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,55,180971,30.4
"Jefferson County, AL",1073,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,117,180971,64.7
"Lauderdale County, AL",1077,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,40550,Unreliable
"Lee County, AL",1081,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,69007,Unreliable
"Madison County, AL",1089,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,17,132401,Unreliable
"Madison County, AL",1089,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,18,131909,Unreliable
"Madison County, AL",1089,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,31,130693,23.7
"Madison County, AL",1089,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,44,130297,33.8
"Marshall County, AL",1095,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,13,45797,Unreliable
"Marshall County, AL",1095,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,20,45321,44.1
"Marshall County, AL",1095,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,18,44843,Unreliable
"Marshall County, AL",1095,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,44491,Unreliable
"Mobile County, AL",1097,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,80517,Unreliable
"Mobile County, AL",1097,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,36,131018,27.5
"Mobile County, AL",1097,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,35,129732,27
"Mobile County, AL",1097,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,39,128295,30.4
"Mobile County, AL",1097,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,37,126562,29.2
"Montgomery County, AL",1101,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,43026,Unreliable
"Morgan County, AL",1103,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,16,52176,Unreliable
"Morgan County, AL",1103,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,19,50839,Unreliable
"Morgan County, AL",1103,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,50006,Unreliable
"St. Clair County, AL",1115,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,20,40009,50
"St. Clair County, AL",1115,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,23,39711,57.9
"St. Clair County, AL",1115,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,15,39539,Unreliable
"St. Clair County, AL",1115,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,22,39544,55.6
"Shelby County, AL",1117,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,25,93469,26.7
"Shelby County, AL",1117,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,93294,Unreliable
"Shelby County, AL",1117,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,30,93294,32.2
"Shelby County, AL",1117,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,38,93045,40.8
"Shelby County, AL",1117,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,38,92951,40.9
"Tuscaloosa County, AL",1125,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,25,79762,31.3
"Tuscaloosa County, AL",1125,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,18,79198,Unreliable
"Tuscaloosa County, AL",1125,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,78747,Unreliable
"Tuscaloosa County, AL",1125,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,19,78411,Unreliable
"Walker County, AL",1127,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,30389,79
"Walker County, AL",1127,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,17,29777,Unreliable
"Anchorage Borough, AK",2020,American Indian or Alaska Native,1002-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,16697,Unreliable
"Anchorage Borough, AK",2020,American Indian or Alaska Native,1002-5,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,16734,Unreliable
"Anchorage Borough, AK",2020,American Indian or Alaska Native,1002-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,16,16734,Unreliable
"Anchorage Borough, AK",2020,American Indian or Alaska Native,1002-5,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,16,16674,Unreliable
"Anchorage Borough, AK",2020,American Indian or Alaska Native,1002-5,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,20,16674,119.9
"Anchorage Borough, AK",2020,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,31,125050,24.8
"Anchorage Borough, AK",2020,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,26,125050,20.8
"Anchorage Borough, AK",2020,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,18,123432,Unreliable
"Anchorage Borough, AK",2020,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,22,123432,17.8
"Anchorage Borough, AK",2020,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,119952,Unreliable
"Anchorage Borough, AK",2020,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,119952,20
"Anchorage Borough, AK",2020,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,25,117338,21.3
"Fairbanks North Star Borough, AK",2090,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,47968,Unreliable
"Kenai Peninsula Borough, AK",2122,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,24927,Unreliable
"Matanuska-Susitna Borough, AK",2170,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,14,46534,Unreliable
"Matanuska-Susitna Borough, AK",2170,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,18,48357,Unreliable
"Apache County, AZ",4001,American Indian or Alaska Native,1002-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,15,28608,Unreliable
"Apache County, AZ",4001,American Indian or Alaska Native,1002-5,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,28579,Unreliable
"Apache County, AZ",4001,American Indian or Alaska Native,1002-5,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,28579,Unreliable
"Apache County, AZ",4001,American Indian or Alaska Native,1002-5,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,28218,Unreliable
"Apache County, AZ",4001,American Indian or Alaska Native,1002-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,15,29194,Unreliable
"Cochise County, AZ",4003,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,12,53468,Unreliable
"Cochise County, AZ",4003,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,52369,45.8
"Cochise County, AZ",4003,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,15,51712,Unreliable
"Coconino County, AZ",4005,American Indian or Alaska Native,1002-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,22343,Unreliable
"Coconino County, AZ",4005,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,14,54800,Unreliable
"Coconino County, AZ",4005,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,54778,Unreliable
"Coconino County, AZ",4005,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,14,55357,Unreliable
"Gila County, AZ",4007,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,16096,Unreliable
"Gila County, AZ",4007,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,12,15588,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,16,73247,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,19,73247,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,75556,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,19,75556,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,16,75556,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,77688,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,17,77688,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,77688,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,78914,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,78914,Unreliable
"Maricopa County, AZ",4013,American Indian or Alaska Native,1002-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,17,78914,Unreliable
"Maricopa County, AZ",4013,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,148314,Unreliable
"Maricopa County, AZ",4013,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,18,148314,Unreliable
"Maricopa County, AZ",4013,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,153612,Unreliable
"Maricopa County, AZ",4013,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,23,153612,15
"Maricopa County, AZ",4013,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,15,160552,Unreliable
"Maricopa County, AZ",4013,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,160552,14.9
"Maricopa County, AZ",4013,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,33,166260,19.8
"Maricopa County, AZ",4013,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,32,166260,19.2
"Maricopa County, AZ",4013,White,2106-3,2013,2013,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,65,1847377,3.5
"Maricopa County, AZ",4013,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,232,1847377,12.6
"Maricopa County, AZ",4013,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,423,1847377,22.9
"Maricopa County, AZ",4013,White,2106-3,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,79,1866982,4.2
"Maricopa County, AZ",4013,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,270,1866982,14.5
"Maricopa County, AZ",4013,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,399,1866982,21.4
"Maricopa County, AZ",4013,White,2106-3,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,103,1885660,5.5
"Maricopa County, AZ",4013,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,260,1885660,13.8
"Maricopa County, AZ",4013,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,401,1885660,21.3
"Maricopa County, AZ",4013,White,2106-3,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,107,1903288,5.6
"Maricopa County, AZ",4013,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,291,1903288,15.3
"Maricopa County, AZ",4013,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,439,1903288,23.1
"Mohave County, AZ",4015,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,25,79335,31.5
"Mohave County, AZ",4015,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,29,79335,36.6
"Mohave County, AZ",4015,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,28,78116,35.8
"Mohave County, AZ",4015,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,78116,35.8
"Mohave County, AZ",4015,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,28,77501,36.1
"Mohave County, AZ",4015,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,36,77501,46.5
"Mohave County, AZ",4015,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,76299,Unreliable
"Mohave County, AZ",4015,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,37,76299,48.5
"Navajo County, AZ",4017,American Indian or Alaska Native,1002-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,26164,Unreliable
"Navajo County, AZ",4017,American Indian or Alaska Native,1002-5,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,26365,Unreliable
"Navajo County, AZ",4017,American Indian or Alaska Native,1002-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,26851,Unreliable
"Navajo County, AZ",4017,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,13,24618,Unreliable
"Navajo County, AZ",4017,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,17,24002,Unreliable
"Pima County, AZ",4019,American Indian or Alaska Native,1002-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,27444,Unreliable
"Pima County, AZ",4019,White,2106-3,2013,2013,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,26,440352,5.9
"Pima County, AZ",4019,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,50,440352,11.4
"Pima County, AZ",4019,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,146,440352,33.2
"Pima County, AZ",4019,White,2106-3,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,17,439202,Unreliable
"Pima County, AZ",4019,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,48,439202,10.9
"Pima County, AZ",4019,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,139,439202,31.6
"Pima County, AZ",4019,White,2106-3,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,18,436447,Unreliable
"Pima County, AZ",4019,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,49,436447,11.2
"Pima County, AZ",4019,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,142,436447,32.5
